8475	0.842978	0.567708	0.324653	0.164352	0.082176	0.035880	0.012249	-0.000096	-0.001543	0.005787	0.002315
8550	0.828414	0.527392	0.272762	0.120274	0.039159	0.005691	0.002797	0.004147	0.005305	0.000965	0.005546
8625	0.834298	0.549190	0.300829	0.142843	0.071084	0.035880	0.010224	0.004437	-0.003472	-0.001640	-0.007813
8700	0.839120	0.556231	0.312982	0.149981	0.064140	0.024595	0.002508	0.005401	0.002797	0.001350	-0.006125
8775	0.827546	0.517458	0.271701	0.118634	0.043210	0.011767	0.002411	-0.005015	0.009742	0.006366	-0.011526
8850	0.837384	0.552951	0.314911	0.154900	0.061535	0.034336	0.017265	-0.000579	0.009259	-0.010320	0.002652
8925	0.836323	0.549093	0.298418	0.138503	0.043789	0.005305	-0.003279	-0.002797	0.004919	0.003569	0.001688
9000	0.826292	0.521123	0.273534	0.117573	0.043017	0.008777	0.000096	0.004340	-0.001254	0.010031	0.001688
9075	0.839892	0.558449	0.322627	0.159433	0.079379	0.042342	0.005594	-0.010802	-0.005980	0.005305	0.001157
9150	0.838059	0.544174	0.300154	0.130498	0.054109	0.014950	0.013117	0.010610	0.004437	0.004630	-0.002267
9225	0.834008	0.536555	0.290123	0.137056	0.053241	0.014564	0.007909	0.003183	-0.000868	0.002990	-0.003086
9300	0.829572	0.528260	0.279514	0.128858	0.042438	0.011478	0.006076	-0.007716	-0.004919	0.004340	-0.001833
9375	0.828221	0.527199	0.274016	0.116030	0.041570	0.010513	0.000482	0.008681	-0.001833	-0.001929	-0.002845
9450	0.820795	0.514853	0.254823	0.100791	0.036555	0.013985	0.008970	0.006752	0.011092	0.004533	0.011622
9525	0.837095	0.540509	0.285976	0.130208	0.046875	0.013696	0.005787	0.000000	0.009549	-0.005498	-0.012683
9600	0.832851	0.534047	0.276331	0.126833	0.046875	0.006848	0.004437	0.009452	0.001447	0.001736	-0.005787
9675	0.836806	0.552276	0.318191	0.163677	0.079861	0.029803	0.014082	0.008295	-0.000965	0.002797	-0.000096
9750	0.833816	0.545525	0.300444	0.144676	0.056520	0.025656	0.005691	0.007041	0.005691	0.008391	-0.002556
9825	0.837191	0.551312	0.311246	0.151138	0.067805	0.032793	0.008777	-0.003376	-0.004630	-0.003376	0.002845
9900	0.826968	0.523052	0.269676	0.112654	0.033565	0.011188	0.007427	0.006655	0.007137	0.004533	0.007427
9975	0.826389	0.521316	0.259452	0.107928	0.046971	0.008295	-0.009452	-0.008970	-0.001833	-0.004147	-0.007330
10050	0.833044	0.539931	0.294174	0.136381	0.050444	0.010031	-0.000096	-0.001157	0.005594	-0.001833	0.003569
10125	0.823495	0.524402	0.283275	0.141397	0.053337	0.008488	0.003279	0.001350	0.002218	0.000772	0.001109
10200	0.834298	0.544560	0.290606	0.132330	0.053434	0.013021	0.000868	-0.002701	-0.004244	0.002604	-0.008632
10275	0.812307	0.488908	0.242863	0.101466	0.032890	0.007523	-0.002894	-0.005015	-0.010995	0.000096	-0.003858
10350	0.825039	0.518133	0.265432	0.115355	0.040027	0.006944	0.008295	0.000386	0.001543	-0.004919	0.000289
10425	0.827353	0.524981	0.282504	0.130015	0.035976	0.015625	0.005980	-0.000868	-0.000193	-0.000868	-0.004244
10500	0.835841	0.545718	0.298900	0.154032	0.073978	0.042052	0.016590	0.009645	0.007137	-0.005015	-0.002749
10575	0.824749	0.520544	0.280478	0.132620	0.055845	0.025270	0.002701	-0.003954	0.007620	-0.002122	0.004485
10650	0.836806	0.547164	0.305941	0.146798	0.052855	0.016975	-0.002797	-0.000096	-0.006655	0.004726	-0.003376
10725	0.832658	0.537809	0.290509	0.137249	0.060475	0.023245	0.013600	0.001833	-0.004919	-0.001543	-0.000145
10800	0.835745	0.548900	0.306617	0.150367	0.056424	0.012828	-0.004823	-0.002990	0.002025	0.009549	-0.003424
10875	0.846451	0.571952	0.333623	0.165799	0.071181	0.030961	0.009645	0.007330	-0.003183	-0.006076	0.004051
10950	0.832948	0.544464	0.306906	0.164352	0.084201	0.035204	0.020351	0.011285	0.006944	0.013600	-0.004919
11025	0.837867	0.551601	0.313465	0.160301	0.071759	0.028356	0.000096	-0.003279	0.007620	0.005208	0.000338
11100	0.833816	0.545042	0.302373	0.148438	0.071181	0.023052	0.010513	-0.001640	0.000193	-0.000675	-0.008391
11175	0.843846	0.557581	0.306424	0.149981	0.055845	0.009742	-0.000193	-0.003183	-0.009838	-0.004533	0.003231
11250	0.834105	0.546200	0.308546	0.159336	0.062114	0.017650	-0.002990	-0.004919	-0.010995	-0.005787	-0.003665
11325	0.832465	0.531250	0.286748	0.129437	0.043306	0.022280	0.008005	0.009549	0.007523	0.005015	-0.008005
11400	0.836227	0.545139	0.299093	0.135899	0.052855	0.013117	-0.000386	0.006944	0.001157	0.008777	-0.003135
11475	0.834298	0.546200	0.297164	0.150752	0.066358	0.032311	0.023534	0.002604	0.000000	0.001543	0.013648
11550	0.836227	0.549383	0.304302	0.144772	0.062018	0.029225	0.009356	0.005594	-0.005112	0.005208	0.004340
11625	0.827064	0.522184	0.269290	0.116512	0.033565	0.011671	0.009066	-0.005015	-0.003665	0.003086	0.004919
11700	0.831404	0.531925	0.279321	0.116319	0.034722	-0.002508	0.005980	0.006848	-0.004630	-0.002894	-0.005691
11775	0.829475	0.524884	0.269869	0.109182	0.030575	0.003183	-0.000193	-0.009549	0.003376	0.000386	0.003135
11850	0.821952	0.511574	0.254726	0.108796	0.034047	0.011285	0.009066	0.003086	0.003954	0.003086	0.001399
11925	0.821277	0.517168	0.273727	0.117670	0.034240	-0.002218	-0.002797	0.012056	-0.000772	-0.009259	-0.000868
12000	0.831019	0.535494	0.286265	0.126929	0.043113	0.016107	0.003376	-0.004630	0.002122	-0.007523	0.001977
12075	0.843654	0.576678	0.356481	0.198592	0.095100	0.043306	0.019965	0.012249	0.011478	0.006848	0.002845
12150	0.827546	0.525174	0.266686	0.120370	0.038194	0.007813	0.002604	-0.007813	-0.010031	-0.008681	-0.001736
12225	0.838445	0.552951	0.308353	0.134452	0.039641	0.007620	-0.003858	-0.006655	0.003183	-0.001543	0.001591
12300	0.831308	0.541184	0.297454	0.136574	0.054495	0.017650	0.009259	0.010320	-0.002990	0.004726	0.005449
12375	0.834780	0.544078	0.307581	0.148052	0.062982	0.021219	0.007620	-0.005208	-0.003569	-0.003569	-0.001254
12450	0.825617	0.519097	0.280093	0.130015	0.055459	0.030093	0.001833	0.007620	-0.009259	-0.002797	0.002170
12525	0.828318	0.527681	0.283275	0.134066	0.066840	0.022569	0.010802	0.009452	-0.004630	-0.008584	0.002701
12600	0.840664	0.560475	0.325521	0.166088	0.073688	0.030575	0.018519	0.008777	0.004051	-0.002508	-0.002411
12675	0.837577	0.557388	0.323592	0.177469	0.085938	0.044271	0.024402	0.014950	0.009838	-0.002604	0.008632
12750	0.834684	0.542438	0.307099	0.153453	0.055941	0.016397	-0.003858	-0.007620	-0.002508	0.001157	0.000965
12825	0.826100	0.524113	0.282311	0.125675	0.044367	-0.002894	-0.000482	-0.000482	0.004340	0.005015	0.002652
12900	0.838542	0.562982	0.324074	0.153742	0.052373	0.012056	0.000289	0.003472	0.001157	-0.001254	0.003954
12975	0.836709	0.555266	0.323592	0.171875	0.083430	0.034722	0.009549	0.004726	-0.006848	-0.007041	0.000386
13050	0.824653	0.512442	0.267843	0.127604	0.048225	0.019001	0.002797	-0.004823	-0.003472	0.000772	-0.002797
13125	0.816454	0.504244	0.247492	0.103299	0.032697	0.011092	-0.003762	0.004919	-0.008970	0.003665	-0.004774
13200	0.833816	0.536555	0.285687	0.126640	0.051215	0.019579	0.008488	-0.002411	0.012539	0.005401	0.002845
13275	0.832948	0.539738	0.294464	0.133391	0.052566	0.026235	0.002122	-0.011767	-0.002604	-0.011381	-0.005980
13350	0.837770	0.553144	0.314043	0.151235	0.063657	0.026813	0.005787	-0.001447	0.004726	-0.002508	-0.003328
13425	0.827546	0.538484	0.298418	0.149788	0.065394	0.016493	0.011381	0.007523	0.002122	-0.007716	-0.005449
13500	0.831404	0.531925	0.278549	0.136863	0.062982	0.019290	0.005980	0.011574	-0.000386	0.000675	0.007427
13575	0.824171	0.523920	0.278839	0.123071	0.060667	0.018615	0.007330	0.011960	0.009742	0.009934	0.004389
