----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
10	7.81032600e-05	5.42691763e-03	-9.45747876e+00	6.94838811e+01
11	6.24000000e-07	4.90567063e-03	-1.42871155e+01	7.86165165e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_17.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30719173e-01	7.29484705e-03	-1.85463480e-01	8.78136353e-03
2	5.34708469e-01	1.87171385e-02	-6.26033598e-01	3.50043802e-02
3	2.89277191e-01	2.33542116e-02	-1.24036991e+00	8.07329866e-02
4	1.34924057e-01	2.07683167e-02	-2.00304320e+00	1.53925973e-01
5	5.46942246e-02	1.51761434e-02	-2.90599716e+00	2.77472503e-01
6	1.93056583e-02	1.03892314e-02	-3.94735705e+00	5.38144372e-01
7	5.94314024e-03	7.53664668e-03	-5.12551763e+00	1.26812533e+00
8	1.64500310e-03	6.28596995e-03	-6.41001301e+00	3.82125112e+00
9	4.04543540e-04	5.72847663e-03	-7.81275119e+00	1.41603463e+01
10	1.35534360e-04	5.42756435e-03	-8.90628537e+00	4.00456707e+01
11	-3.56140000e-07	4.89769258e-03	nan	-1.37521553e+04

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_18.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30684095e-01	7.26398165e-03	-1.85505707e-01	8.74457775e-03
2	5.34579756e-01	1.86295825e-02	-6.26274344e-01	3.48490235e-02
3	2.89144825e-01	2.32764452e-02	-1.24082759e+00	8.05009917e-02
4	1.34800509e-01	2.07367030e-02	-2.00395930e+00	1.53832527e-01
5	5.46186864e-02	1.51851444e-02	-2.90737921e+00	2.78021048e-01
6	1.92594333e-02	1.03291633e-02	-3.94975429e+00	5.36317091e-01
7	5.92161972e-03	7.55376486e-03	-5.12914527e+00	1.27562478e+00
8	1.59799282e-03	6.30594643e-03	-6.43900692e+00	3.94616694e+00
9	4.05368500e-04	5.71909702e-03	-7.81071403e+00	1.41083903e+01
10	1.27406380e-04	5.45529372e-03	-8.96812874e+00	4.28180576e+01
11	-1.30545200e-05	4.92283486e-03	nan	-3.77098113e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_19.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30729670e-01	7.25668174e-03	-1.85450843e-01	8.73531065e-03
2	5.34716383e-01	1.86504144e-02	-6.26018798e-01	3.48790779e-02
3	2.89327792e-01	2.32922938e-02	-1.24019501e+00	8.05048616e-02
4	1.35047768e-01	2.06827406e-02	-2.00212672e+00	1.53151295e-01
5	5.48138563e-02	1.51751826e-02	-2.90381226e+00	2.76849389e-01
6	1.94100439e-02	1.03543230e-02	-3.94196462e+00	5.33451807e-01
7	6.01303014e-03	7.52698520e-03	-5.11382647e+00	1.25177906e+00
8	1.61200974e-03	6.29813911e-03	-6.43027359e+00	3.90701058e+00
9	3.90651280e-04	5.74889215e-03	-7.84769526e+00	1.47161738e+01
10	7.75964400e-05	5.48073519e-03	-9.46398901e+00	7.06312712e+01
11	7.47476000e-06	4.91608881e-03	-1.18039785e+01	6.57691860e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_2.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30809346e-01	7.33491051e-03	-1.85354938e-01	8.82863264e-03
2	5.34946982e-01	1.88165272e-02	-6.25587636e-01	3.51745646e-02
3	2.89596107e-01	2.34801398e-02	-1.23926806e+00	8.10789209e-02
4	1.35147332e-01	2.08508000e-02	-2.00138975e+00	1.54281995e-01
5	5.48740218e-02	1.52475087e-02	-2.90271523e+00	2.77863882e-01
6	1.94190058e-02	1.03832167e-02	-3.94150301e+00	5.34693528e-01
7	6.00346440e-03	7.54830740e-03	-5.11541858e+00	1.25732525e+00
8	1.65928572e-03	6.31595176e-03	-6.40136806e+00	3.80642808e+00
9	3.81323580e-04	5.75264363e-03	-7.87186225e+00	1.50859898e+01
10	1.01736640e-04	5.42278266e-03	-9.19312304e+00	5.33021600e+01
11	3.74578000e-05	4.87764454e-03	-1.01922956e+01	1.30217059e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_3.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30711836e-01	7.26144203e-03	-1.85472311e-01	8.74122856e-03
2	5.34672405e-01	1.86682474e-02	-6.26101046e-01	3.49152999e-02
3	2.89281236e-01	2.33517586e-02	-1.24035593e+00	8.07233783e-02
4	1.34899436e-01	2.07350840e-02	-2.00322570e+00	1.53707715e-01
5	5.46906788e-02	1.51269163e-02	-2.90606199e+00	2.76590392e-01
6	1.93409190e-02	1.02954490e-02	-3.94553227e+00	5.32314365e-01
7	5.96098396e-03	7.54216748e-03	-5.12251972e+00	1.26525546e+00
8	1.59568730e-03	6.26998134e-03	-6.44045073e+00	3.92932960e+00
9	3.74979820e-04	5.73833572e-03	-7.88863835e+00	1.53030521e+01
10	7.65177200e-05	5.47421112e-03	-9.47798821e+00	7.15417438e+01
11	1.59199800e-05	4.90275505e-03	-1.10479356e+01	3.07962387e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_4.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
