----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
11	-3.31660400e-05	4.93112350e-03	nan	-1.48679900e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_11.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30805472e-01	7.27242095e-03	-1.85359601e-01	8.75345818e-03
2	5.34920983e-01	1.86690410e-02	-6.25636239e-01	3.49005584e-02
3	2.89574605e-01	2.33535336e-02	-1.23934231e+00	8.06477266e-02
4	1.35127574e-01	2.07826281e-02	-2.00153596e+00	1.53800054e-01
5	5.48177101e-02	1.52149815e-02	-2.90374196e+00	2.77555948e-01
6	1.93770118e-02	1.03695108e-02	-3.94366787e+00	5.35144991e-01
7	5.98789676e-03	7.56127369e-03	-5.11801505e+00	1.26275953e+00
8	1.66916986e-03	6.27178393e-03	-6.39542887e+00	3.75742702e+00
9	3.63490920e-04	5.72567622e-03	-7.91975624e+00	1.57519099e+01
10	6.87161000e-05	5.43983649e-03	-9.58552703e+00	7.91639294e+01
11	-1.31872600e-05	4.92198570e-03	nan	-3.73237936e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_12.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30683877e-01	7.26571609e-03	-1.85505970e-01	8.74666802e-03
2	5.34625531e-01	1.86192591e-02	-6.26188719e-01	3.48267302e-02
3	2.89186769e-01	2.32819884e-02	-1.24068254e+00	8.05084839e-02
4	1.34829816e-01	2.06769970e-02	-2.00374192e+00	1.53356265e-01
5	5.46286921e-02	1.51353941e-02	-2.90719604e+00	2.77059426e-01
6	1.93917629e-02	1.02945575e-02	-3.94290690e+00	5.30872699e-01
7	6.01033976e-03	7.56902812e-03	-5.11427400e+00	1.25933448e+00
8	1.67657276e-03	6.31607042e-03	-6.39100359e+00	3.76725101e+00
9	3.72774620e-04	5.78263415e-03	-7.89453656e+00	1.55124138e+01
10	7.51888800e-05	5.44732966e-03	-9.49550721e+00	7.24486076e+01
11	2.09616000e-06	4.93129397e-03	-1.30754035e+01	2.35253700e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_13.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30687115e-01	7.25067439e-03	-1.85502072e-01	8.72852637e-03
2	5.34603864e-01	1.86336220e-02	-6.26229247e-01	3.48550081e-02
3	2.89165750e-01	2.33348556e-02	-1.24075523e+00	8.06971628e-02
4	1.34863219e-01	2.07536965e-02	-2.00349420e+00	1.53887002e-01
5	5.47054466e-02	1.51858438e-02	-2.90579200e+00	2.77592904e-01
6	1.93407767e-02	1.03450363e-02	-3.94553963e+00	5.34882155e-01
7	5.99902378e-03	7.54220627e-03	-5.11615853e+00	1.25723894e+00
8	1.61138176e-03	6.28591444e-03	-6.43066323e+00	3.90094675e+00
9	3.43179480e-04	5.74487667e-03	-7.97725698e+00	1.67401520e+01
10	3.17390000e-05	5.47193037e-03	-1.03579643e+01	1.72403994e+02
11	-2.06948200e-05	4.89702904e-03	nan	-2.36630666e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_14.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30728640e-01	7.26129066e-03	-1.85452084e-01	8.74086954e-03
2	5.34733914e-01	1.86118231e-02	-6.25986013e-01	3.48057653e-02
3	2.89337742e-01	2.32550595e-02	-1.24016061e+00	8.03734047e-02
4	1.34989152e-01	2.06518794e-02	-2.00256086e+00	1.52989178e-01
5	5.47135436e-02	1.51530827e-02	-2.90564400e+00	2.76953049e-01
6	1.92934286e-02	1.03026472e-02	-3.94799073e+00	5.33997735e-01
7	5.97202732e-03	7.53738151e-03	-5.12066882e+00	1.26211437e+00
8	1.64354228e-03	6.31168819e-03	-6.41090144e+00	3.84029560e+00
9	3.80002520e-04	5.74744247e-03	-7.87533267e+00	1.51247483e+01
10	1.08473080e-04	5.45781866e-03	-9.12900853e+00	5.03149598e+01
11	-1.11554000e-05	4.90930822e-03	nan	-4.40083567e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_15.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30739591e-01	7.31133255e-03	-1.85438902e-01	8.80099207e-03
2	5.34779949e-01	1.87896531e-02	-6.25899927e-01	3.51352984e-02
3	2.89433874e-01	2.34339211e-02	-1.23982842e+00	8.09646804e-02
4	1.35097488e-01	2.07625465e-02	-2.00175863e+00	1.53685659e-01
5	5.48541460e-02	1.51765041e-02	-2.90307751e+00	2.76670138e-01
6	1.94222853e-02	1.03791136e-02	-3.94133414e+00	5.34391986e-01
7	5.96726622e-03	7.55126214e-03	-5.12146638e+00	1.26544750e+00
8	1.65552008e-03	6.31138128e-03	-6.40364007e+00	3.81232542e+00
9	4.06812200e-04	5.75992218e-03	-7.80715890e+00	1.41586761e+01
10	9.14438000e-05	5.50450181e-03	-9.29978598e+00	6.01954622e+01
11	-8.27682000e-06	4.92794746e-03	nan	-5.95391401e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_16.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30770258e-01	7.28829664e-03	-1.85401986e-01	8.77293881e-03
2	5.34805351e-01	1.87169777e-02	-6.25852427e-01	3.49977382e-02
3	2.89382658e-01	2.33899621e-02	-1.24000539e+00	8.08271037e-02
4	1.35008057e-01	2.08220039e-02	-2.00242082e+00	1.54227862e-01
5	5.47805489e-02	1.52630369e-02	-2.90442010e+00	2.78621467e-01
6	1.94256950e-02	1.04057868e-02	-3.94115860e+00	5.35671275e-01
7	6.01495566e-03	7.55853770e-03	-5.11350630e+00	1.25662401e+00
8	1.62375646e-03	6.27058094e-03	-6.42301301e+00	3.86177428e+00
9	3.74066440e-04	5.72589073e-03	-7.89107713e+00	1.53071490e+01
10	4.16915000e-05	5.48230721e-03	-1.00852133e+01	1.31497001e+02
11	4.74018800e-05	4.88499342e-03	-9.95684867e+00	1.03054846e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_17.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30719754e-01	7.24533527e-03	-1.85462781e-01	8.72175633e-03
2	5.34689669e-01	1.85822860e-02	-6.26068759e-01	3.47534038e-02
3	2.89288709e-01	2.32007116e-02	-1.24033010e+00	8.01991604e-02
4	1.34932976e-01	2.06443552e-02	-2.00297710e+00	1.52997108e-01
5	5.47232620e-02	1.51113414e-02	-2.90546639e+00	2.76141094e-01
6	1.93905158e-02	1.02493784e-02	-3.94297121e+00	5.28576885e-01
7	5.98123584e-03	7.55278944e-03	-5.11912807e+00	1.26274731e+00
8	1.62503912e-03	6.29472142e-03	-6.42222339e+00	3.87358147e+00
9	3.75439940e-04	5.72710772e-03	-7.88741205e+00	1.52543912e+01
10	6.97027800e-05	5.45440364e-03	-9.57127036e+00	7.82523113e+01
11	3.32145000e-05	4.90932833e-03	-1.03125240e+01	1.47806781e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_18.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30703048e-01	7.29389423e-03	-1.85482891e-01	8.78038698e-03
2	5.34665505e-01	1.87249739e-02	-6.26113951e-01	3.50218477e-02
3	2.89278742e-01	2.33766759e-02	-1.24036455e+00	8.08102101e-02
4	1.34944160e-01	2.07725482e-02	-2.00289422e+00	1.53934400e-01
5	5.47402156e-02	1.52061577e-02	-2.90515664e+00	2.77787683e-01
6	1.93639491e-02	1.03930358e-02	-3.94434223e+00	5.36720880e-01
7	5.96586894e-03	7.55487465e-03	-5.12170056e+00	1.26634942e+00
8	1.62162490e-03	6.31727937e-03	-6.42432661e+00	3.89564774e+00
9	4.20731760e-04	5.76467199e-03	-7.77351508e+00	1.37015375e+01
10	5.27007800e-05	5.46530537e-03	-9.85088030e+00	1.03704449e+02
11	-9.75136000e-06	4.92412913e-03	nan	-5.04968449e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_19.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30777227e-01	7.28060341e-03	-1.85393598e-01	8.76360494e-03
2	5.34854537e-01	1.86836270e-02	-6.25760462e-01	3.49321652e-02
3	2.89497651e-01	2.33772372e-02	-1.23960810e+00	8.07510428e-02
4	1.35153937e-01	2.08299423e-02	-2.00134088e+00	1.54120130e-01
5	5.49020420e-02	1.52729280e-02	-2.90220474e+00	2.78185062e-01
6	1.94622551e-02	1.03885034e-02	-3.93927833e+00	5.33776964e-01
7	6.02734290e-03	7.58913776e-03	-5.11144901e+00	1.25911830e+00
8	1.63320508e-03	6.32120777e-03	-6.41721089e+00	3.87043112e+00
9	3.58852860e-04	5.74732688e-03	-7.93259811e+00	1.60158313e+01
10	7.00069400e-05	5.45271031e-03	-9.56691618e+00	7.78881395e+01
11	1.37227000e-05	4.91793412e-03	-1.11964592e+01	3.58379482e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_2.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30742706e-01	7.28039094e-03	-1.85435151e-01	8.76371335e-03
2	5.34779312e-01	1.86831555e-02	-6.25901118e-01	3.49361971e-02
3	2.89451337e-01	2.33806372e-02	-1.23976809e+00	8.07757096e-02
4	1.35110670e-01	2.07439794e-02	-2.00166106e+00	1.53533244e-01
5	5.48643968e-02	1.51312348e-02	-2.90289065e+00	2.75793333e-01
6	1.94261685e-02	1.03272601e-02	-3.94113423e+00	5.31615904e-01
7	6.04541272e-03	7.53652617e-03	-5.10845552e+00	1.24665205e+00
8	1.66093442e-03	6.28105635e-03	-6.40037493e+00	3.78164019e+00
9	3.72769580e-04	5.75351087e-03	-7.89455008e+00	1.54344967e+01
10	6.87651800e-05	5.44683902e-03	-9.58481305e+00	7.92092600e+01
11	-1.27765800e-05	4.90087217e-03	nan	-3.83582474e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_20.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30737077e-01	7.26827387e-03	-1.85441927e-01	8.74918680e-03
2	5.34762697e-01	1.86692048e-02	-6.25932187e-01	3.49111950e-02
3	2.89360125e-01	2.33339083e-02	-1.24008326e+00	8.06396813e-02
4	1.34952319e-01	2.07314075e-02	-2.00283376e+00	1.53620239e-01
5	5.47233744e-02	1.51811177e-02	-2.90546434e+00	2.77415599e-01
6	1.93422790e-02	1.03612558e-02	-3.94546196e+00	5.35679163e-01
7	5.97276558e-03	7.56627976e-03	-5.12054521e+00	1.26679671e+00
8	1.60845936e-03	6.30580059e-03	-6.43247848e+00	3.92039783e+00
9	3.79602800e-04	5.72740539e-03	-7.87638512e+00	1.50878903e+01
10	6.87820400e-05	5.46061074e-03	-9.58456789e+00	7.93900667e+01
11	-4.84219200e-05	4.90397677e-03	nan	-1.01275967e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_21.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30773663e-01	7.27370688e-03	-1.85397888e-01	8.75534120e-03
2	5.34835487e-01	1.86707654e-02	-6.25796080e-01	3.49093617e-02
3	2.89447650e-01	2.33749974e-02	-1.23978083e+00	8.07572541e-02
4	1.35132027e-01	2.07978668e-02	-2.00150300e+00	1.53907754e-01
5	5.48452705e-02	1.52245899e-02	-2.90323932e+00	2.77591664e-01
6	1.94452685e-02	1.03269847e-02	-3.94015150e+00	5.31079563e-01
7	6.02529986e-03	7.55056527e-03	-5.11178803e+00	1.25314349e+00
8	1.64142396e-03	6.29482113e-03	-6.41219115e+00	3.83497578e+00
9	4.03413480e-04	5.76906517e-03	-7.81554852e+00	1.43006257e+01
10	6.67788200e-05	5.47745487e-03	-9.61412459e+00	8.20238344e+01
11	-4.31990000e-06	4.91849781e-03	nan	-1.13856752e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_22.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30753834e-01	7.24051867e-03	-1.85421757e-01	8.71560066e-03
2	5.34789418e-01	1.85788947e-02	-6.25882221e-01	3.47405803e-02
3	2.89449469e-01	2.32075434e-02	-1.23977454e+00	8.01782208e-02
4	1.35057886e-01	2.06718110e-02	-2.00205181e+00	1.53058897e-01
5	5.47961878e-02	1.51228049e-02	-2.90413465e+00	2.75982791e-01
6	1.94131763e-02	1.02955752e-02	-3.94180325e+00	5.30339551e-01
7	6.01469932e-03	7.54594109e-03	-5.11354892e+00	1.25458326e+00
8	1.64496390e-03	6.33355170e-03	-6.41003684e+00	3.85026790e+00
9	4.09938220e-04	5.73449545e-03	-7.79950409e+00	1.39886821e+01
10	9.97571000e-05	5.41429318e-03	-9.21277233e+00	5.42747652e+01
11	-3.37974000e-05	4.94059585e-03	nan	-1.46182720e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_23.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30699076e-01	7.27170616e-03	-1.85487673e-01	8.75371886e-03
2	5.34652199e-01	1.86271386e-02	-6.26138838e-01	3.48397305e-02
3	2.89282454e-01	2.32453662e-02	-1.24035172e+00	8.03552581e-02
4	1.34959425e-01	2.06851608e-02	-2.00278110e+00	1.53269479e-01
5	5.47779368e-02	1.51892301e-02	-2.90446778e+00	2.77287371e-01
6	1.94452928e-02	1.03476868e-02	-3.94015025e+00	5.32143534e-01
7	6.01082446e-03	7.57815435e-03	-5.11419336e+00	1.26075123e+00
8	1.61756046e-03	6.33705974e-03	-6.42683615e+00	3.91766484e+00
9	3.74808140e-04	5.77162166e-03	-7.88909629e+00	1.53988696e+01
10	6.10954400e-05	5.45293957e-03	-9.70307333e+00	8.92528079e+01
11	6.50118000e-06	4.92793723e-03	-1.19435269e+01	7.58006583e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_24.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30780262e-01	7.27092634e-03	-1.85389945e-01	8.75192475e-03
2	5.34847351e-01	1.85948092e-02	-6.25773899e-01	3.47665726e-02
3	2.89458447e-01	2.32427032e-02	-1.23974353e+00	8.02972013e-02
4	1.35095217e-01	2.06811332e-02	-2.00177544e+00	1.53085607e-01
5	5.48112727e-02	1.51857927e-02	-2.90385940e+00	2.77056012e-01
6	1.94091725e-02	1.03797009e-02	-3.94200952e+00	5.34783281e-01
7	5.98745334e-03	7.57209500e-03	-5.11808911e+00	1.26466038e+00
8	1.60749406e-03	6.29676724e-03	-6.43307880e+00	3.91713251e+00
9	3.85107000e-04	5.76021686e-03	-7.86198934e+00	1.49574452e+01
10	1.08623520e-04	5.43997727e-03	-9.12762260e+00	5.00810254e+01
11	3.93462000e-06	4.90356451e-03	-1.24456963e+01	1.24626127e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_25.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30687998e-01	7.29080254e-03	-1.85501008e-01	8.77682422e-03
2	5.34653781e-01	1.87014103e-02	-6.26135880e-01	3.49785430e-02
3	2.89307338e-01	2.33618520e-02	-1.24026570e+00	8.07509832e-02
4	1.34980825e-01	2.07703701e-02	-2.00262255e+00	1.53876449e-01
5	5.47579292e-02	1.52246232e-02	-2.90483310e+00	2.78035043e-01
6	1.94006678e-02	1.04476295e-02	-3.94244779e+00	5.38519064e-01
7	5.97641352e-03	7.60209203e-03	-5.11993464e+00	1.27201573e+00
8	1.63981768e-03	6.30030464e-03	-6.41317021e+00	3.84207630e+00
9	3.99490360e-04	5.75627557e-03	-7.82532092e+00	1.44090475e+01
10	1.29307040e-04	5.43888238e-03	-8.95332083e+00	4.20617654e+01
11	-1.12570000e-06	4.92622337e-03	nan	-4.37614228e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_26.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30703490e-01	7.26831947e-03	-1.85482359e-01	8.74959544e-03
2	5.34682385e-01	1.86435390e-02	-6.26082381e-01	3.48684369e-02
3	2.89297868e-01	2.32628000e-02	-1.24029844e+00	8.04112388e-02
4	1.34976232e-01	2.06676329e-02	-2.00265657e+00	1.53120535e-01
5	5.47521803e-02	1.51205368e-02	-2.90493809e+00	2.76163191e-01
6	1.94069437e-02	1.02810796e-02	-3.94212435e+00	5.29762942e-01
7	6.01053116e-03	7.54094705e-03	-5.11424215e+00	1.25462240e+00
8	1.61806882e-03	6.27347158e-03	-6.42652193e+00	3.87713520e+00
9	4.09489380e-04	5.72548738e-03	-7.80059959e+00	1.39820168e+01
10	8.90348800e-05	5.47582738e-03	-9.32648235e+00	6.15020471e+01
11	-4.27812400e-05	4.92507750e-03	nan	-1.15122364e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_27.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30669789e-01	7.26625913e-03	-1.85522929e-01	8.74747009e-03
2	5.34593392e-01	1.86444260e-02	-6.26248836e-01	3.48759005e-02
3	2.89202162e-01	2.33060194e-02	-1.24062931e+00	8.05872931e-02
4	1.34906217e-01	2.07455075e-02	-2.00317543e+00	1.53777253e-01
5	5.46993893e-02	1.51685972e-02	-2.90590273e+00	2.77308347e-01
6	1.93542714e-02	1.03308264e-02	-3.94484214e+00	5.33775008e-01
7	5.99734012e-03	7.55254267e-03	-5.11643922e+00	1.25931538e+00
8	1.58565622e-03	6.27464506e-03	-6.44675694e+00	3.95712828e+00
9	4.01362460e-04	5.76477753e-03	-7.82064565e+00	1.43630212e+01
10	9.75017400e-05	5.42937315e-03	-9.23564033e+00	5.56848847e+01
11	1.23801400e-05	4.90722259e-03	-1.12994170e+01	3.96378602e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_3.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30717574e-01	7.31946502e-03	-1.85465405e-01	8.81101502e-03
2	5.34690855e-01	1.87637836e-02	-6.26066540e-01	3.50927707e-02
3	2.89278357e-01	2.34677491e-02	-1.24036588e+00	8.11251465e-02
4	1.34949252e-01	2.08611198e-02	-2.00285649e+00	1.54584924e-01
5	5.47359195e-02	1.52579956e-02	-2.90523512e+00	2.78756541e-01
6	1.93671556e-02	1.03954530e-02	-3.94417666e+00	5.36756830e-01
7	5.99306772e-03	7.53413751e-03	-5.11715186e+00	1.25714206e+00
8	1.60521426e-03	6.29081671e-03	-6.43449804e+00	3.91898880e+00
9	3.54709540e-04	5.73782200e-03	-7.94421130e+00	1.61761141e+01
10	9.88434600e-05	5.47454368e-03	-9.22197317e+00	5.53859980e+01
11	4.48750000e-06	4.91283305e-03	-1.23142148e+01	1.09478174e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_4.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30759660e-01	7.28828756e-03	-1.85414744e-01	8.77303980e-03
2	5.34794105e-01	1.86960591e-02	-6.25873457e-01	3.49593589e-02
3	2.89430875e-01	2.33756423e-02	-1.23983878e+00	8.07641627e-02
4	1.35097171e-01	2.07346487e-02	-2.00176097e+00	1.53479518e-01
5	5.48471481e-02	1.52237194e-02	-2.90320509e+00	2.77566289e-01
6	1.94426523e-02	1.03816447e-02	-3.94028605e+00	5.33962367e-01
7	5.98958808e-03	7.52662842e-03	-5.11773264e+00	1.25661871e+00
8	1.64735666e-03	6.29240852e-03	-6.40858330e+00	3.81970017e+00
9	4.06529300e-04	5.72661552e-03	-7.80785455e+00	1.40865997e+01
10	4.95836400e-05	5.46812885e-03	-9.91184962e+00	1.10280908e+02
11	-1.20818800e-05	4.89880333e-03	nan	-4.05466975e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_5.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30762440e-01	7.29483100e-03	-1.85411398e-01	8.78088686e-03
2	5.34801365e-01	1.87390888e-02	-6.25859881e-01	3.50393437e-02
3	2.89407637e-01	2.34081561e-02	-1.23991908e+00	8.08829938e-02
4	1.35028373e-01	2.07887029e-02	-2.00227035e+00	1.53958035e-01
5	5.47664136e-02	1.51829999e-02	-2.90467816e+00	2.77231954e-01
6	1.93903407e-02	1.03036658e-02	-3.94298024e+00	5.31381372e-01
7	5.95777884e-03	7.53013667e-03	-5.12305755e+00	1.26391678e+00
8	1.61958556e-03	6.28480458e-03	-6.42558499e+00	3.88050174e+00
9	3.93216240e-04	5.73819222e-03	-7.84115087e+00	1.45929685e+01
10	7.45099600e-05	5.43772911e-03	-9.50457775e+00	7.29798957e+01
11	-8.86454000e-06	4.93055852e-03	nan	-5.56211436e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_6.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30722756e-01	7.25558536e-03	-1.85459166e-01	8.73406357e-03
2	5.34731699e-01	1.86500353e-02	-6.25990154e-01	3.48773699e-02
3	2.89308274e-01	2.33001122e-02	-1.24026247e+00	8.05373169e-02
4	1.34972110e-01	2.06648218e-02	-2.00268711e+00	1.53104385e-01
5	5.47512167e-02	1.51083188e-02	-2.90495569e+00	2.75944896e-01
6	1.93608839e-02	1.03228230e-02	-3.94450054e+00	5.33179323e-01
7	6.00661350e-03	7.51510672e-03	-5.11489417e+00	1.25113872e+00
8	1.65516454e-03	6.27157137e-03	-6.40385486e+00	3.78909240e+00
9	4.06827520e-04	5.72427362e-03	-7.80712125e+00	1.40705172e+01
10	3.28334800e-05	5.47370071e-03	-1.03240618e+01	1.66710952e+02
11	3.98802000e-06	4.91329997e-03	-1.24322157e+01	1.23201488e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_7.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30653829e-01	7.23517380e-03	-1.85542143e-01	8.71021544e-03
2	5.34531939e-01	1.85637819e-02	-6.26363794e-01	3.47290414e-02
3	2.89047716e-01	2.31936318e-02	-1.24116350e+00	8.02415331e-02
4	1.34695654e-01	2.05875980e-02	-2.00473746e+00	1.52845303e-01
5	5.45288822e-02	1.50689077e-02	-2.90902477e+00	2.76347269e-01
6	1.92433463e-02	1.02822985e-02	-3.95058992e+00	5.34330068e-01
7	5.89513046e-03	7.50981375e-03	-5.13362861e+00	1.27390120e+00
8	1.55887164e-03	6.28787681e-03	-6.46379303e+00	4.03360780e+00
9	3.92787860e-04	5.75705338e-03	-7.84224089e+00	1.46569025e+01
10	9.85487400e-05	5.46847638e-03	-9.22495931e+00	5.54900690e+01
11	-2.06884400e-05	4.89118457e-03	nan	-2.36421140e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_8.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30717352e-01	7.31140938e-03	-1.85465672e-01	8.80132016e-03
2	5.34713868e-01	1.88156328e-02	-6.26023501e-01	3.51882266e-02
3	2.89315583e-01	2.34984241e-02	-1.24023720e+00	8.12207342e-02
4	1.35009300e-01	2.08792708e-02	-2.00241161e+00	1.54650611e-01
5	5.47979841e-02	1.53005972e-02	-2.90410187e+00	2.79218249e-01
6	1.94041307e-02	1.04276986e-02	-3.94226931e+00	5.37395813e-01
7	5.98622938e-03	7.60539866e-03	-5.11829355e+00	1.27048233e+00
8	1.63899672e-03	6.31443501e-03	-6.41367098e+00	3.85262212e+00
9	3.88766360e-04	5.73882276e-03	-7.85253201e+00	1.47616238e+01
10	1.09254560e-04	5.46504914e-03	-9.12182999e+00	5.00212453e+01
11	-5.26185800e-05	4.89897504e-03	nan	-9.31035205e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_9.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30703059e-01	7.30401464e-03	-1.85482878e-01	8.79256981e-03
2	5.34675939e-01	1.87303599e-02	-6.26094438e-01	3.50312377e-02
3	2.89236773e-01	2.33960146e-02	-1.24050964e+00	8.08887969e-02
4	1.34907426e-01	2.07331114e-02	-2.00316647e+00	1.53683989e-01
5	5.47585625e-02	1.51272935e-02	-2.90482153e+00	2.76254395e-01
6	1.93870959e-02	1.02962564e-02	-3.94314760e+00	5.31088124e-01
7	6.01389064e-03	7.49281452e-03	-5.11368338e+00	1.24591799e+00
8	1.58718512e-03	6.29919210e-03	-6.44579320e+00	3.96878223e+00
9	3.82585360e-04	5.73237916e-03	-7.86855877e+00	1.49832685e+01
10	3.98978600e-05	5.45848995e-03	-1.01291879e+01	1.36811597e+02
11	-4.18310000e-06	4.90401080e-03	nan	-1.17233889e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_10.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30690011e-01	7.23185424e-03	-1.85498585e-01	8.70583990e-03
2	5.34614004e-01	1.85676617e-02	-6.26210280e-01	3.47309676e-02
3	2.89188387e-01	2.32050184e-02	-1.24067695e+00	8.02418750e-02
4	1.34919532e-01	2.06732780e-02	-2.00307674e+00	1.53226724e-01
5	5.46867084e-02	1.51577629e-02	-2.90613459e+00	2.77174534e-01
6	1.93706033e-02	1.03323404e-02	-3.94399866e+00	5.33403131e-01
7	5.98335432e-03	7.51386506e-03	-5.11877395e+00	1.25579477e+00
8	1.63821706e-03	6.28780470e-03	-6.41414679e+00	3.83819999e+00
9	4.00570400e-04	5.75674562e-03	-7.82262103e+00	1.43713705e+01
10	7.33219600e-05	5.44894019e-03	-9.52065040e+00	7.43152555e+01
11	2.59363600e-05	4.93356420e-03	-1.05598647e+01	1.90218065e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_11.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30686630e-01	7.26151320e-03	-1.85502655e-01	8.74157948e-03
2	5.34655970e-01	1.86455529e-02	-6.26131785e-01	3.48739263e-02
3	2.89251678e-01	2.33293230e-02	-1.24045811e+00	8.06540627e-02
4	1.34943571e-01	2.07409442e-02	-2.00289858e+00	1.53700870e-01
5	5.47306500e-02	1.51685132e-02	-2.90533140e+00	2.77148421e-01
6	1.93404923e-02	1.03422609e-02	-3.94555434e+00	5.34746518e-01
7	5.98903526e-03	7.57609057e-03	-5.11782494e+00	1.26499348e+00
8	1.65815154e-03	6.29120403e-03	-6.40205183e+00	3.79410680e+00
9	4.07731940e-04	5.73887800e-03	-7.80490061e+00	1.40751249e+01
10	3.34609200e-05	5.46598735e-03	-1.03051324e+01	1.63354365e+02
11	1.27863800e-05	4.91668347e-03	-1.12671300e+01	3.84525055e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_12.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30755488e-01	7.28614945e-03	-1.85419765e-01	8.77051016e-03
