8	0.001608	0.006289
9	0.000351	0.005715
10	0.000016	0.005445
1	0.830781	0.007237
2	0.534888	0.018552
3	0.289517	0.023137
4	0.135111	0.020587
5	0.054840	0.015022
6	0.019424	0.010230
7	0.006009	0.007484
8	0.001609	0.006296
9	0.000368	0.005742
10	0.000114	0.005462
