# tiempo	energia_plaqueta	w10	magnetizacion
230	0.817226	-0.011188	0.004292
231	0.817226	-0.001447	0.002942
232	0.820795	-0.016300	0.004678
233	0.817805	0.000675	0.002990
234	0.815876	0.000675	0.003231
235	0.816262	0.000675	0.003424
236	0.812018	-0.007427	0.002749
237	0.814815	-0.004533	0.005883
238	0.817130	-0.003472	0.003135
239	0.817419	0.003279	0.003810
240	0.816165	-0.005112	-0.003713
241	0.818576	-0.005208	-0.006269
242	0.818962	-0.004437	-0.004196
243	0.818866	0.005401	-0.001447
244	0.820216	-0.004919	-0.002749
245	0.825328	-0.004823	-0.005257
246	0.831983	0.008681	-0.004099
247	0.828800	-0.001254	-0.001977
248	0.829958	-0.001929	0.000579
249	0.828221	0.004051	0.000434
250	0.823978	-0.000579	-0.001784
251	0.821856	0.007330	-0.004147
252	0.826100	0.003569	-0.002315
253	0.828221	0.001061	-0.001640
254	0.829765	-0.002508	-0.003424
255	0.829090	-0.001350	-0.002749
256	0.828511	0.003279	-0.004774
257	0.827643	0.001929	-0.002074
258	0.829090	0.002218	0.002749
259	0.835938	-0.003472	0.000289
260	0.841339	0.007234	0.000434
261	0.835745	0.009645	0.002508
262	0.833237	-0.003086	0.002556
263	0.834587	0.001736	-0.000096
264	0.834973	-0.002218	-0.003135
265	0.837867	0.012249	-0.002074
266	0.836034	-0.009356	-0.001061
267	0.838252	-0.002701	-0.003810
268	0.835841	0.002508	-0.004340
269	0.831404	0.002990	-0.002797
270	0.828511	0.008198	-0.000868
271	0.828511	0.001929	-0.002749
272	0.829282	-0.005594	-0.003810
273	0.836034	0.006752	-0.004678
274	0.831019	0.003472	-0.003617
275	0.828414	-0.001061	-0.002845
276	0.827353	-0.011092	-0.005739
277	0.826968	-0.000675	-0.004147
278	0.828511	-0.008295	-0.005642
279	0.827450	0.002025	-0.002508
280	0.822145	-0.004726	-0.005883
281	0.829765	0.005691	-0.005449
282	0.824749	0.010802	-0.004244
283	0.821759	0.001254	-0.004774
284	0.825907	0.011671	-0.001688
285	0.830826	-0.004919	-0.004196
286	0.831211	0.003086	-0.001881
287	0.829379	0.007330	-0.001881
288	0.825810	0.000000	0.000530
289	0.828993	-0.000868	-0.001929
290	0.831694	-0.000482	-0.000772
291	0.832465	0.011863	-0.000916
292	0.829475	0.001447	-0.002508
293	0.830054	0.004726	0.001929
294	0.833044	0.001543	-0.000772
295	0.834684	-0.000675	-0.000723
296	0.833912	-0.008681	0.002508
297	0.828704	0.004340	0.001881
298	0.828704	0.000965	0.004533
299	0.821566	-0.005787	0.004726
300	0.830440	-0.005401	0.005353
301	0.827546	0.002701	0.006414
302	0.825810	-0.002122	0.008970
303	0.827932	-0.009934	0.007427
304	0.824556	0.003858	0.005160
305	0.831501	-0.001447	0.003713
306	0.826968	-0.010513	0.000579
307	0.829668	0.003472	0.002604
308	0.830247	0.009163	-0.002845
309	0.835166	0.006366	0.003520
310	0.835552	-0.008102	0.002894
311	0.829090	-0.020351	0.000627
312	0.825135	-0.004630	0.001109
313	0.821566	0.000386	-0.001495
314	0.818673	0.005980	-0.003665
315	0.827739	0.011092	-0.003376
316	0.826582	-0.004726	-0.003135
317	0.828607	0.005980	-0.002556
318	0.825328	-0.006655	0.003231
319	0.833719	-0.006752	-0.002652
320	0.836902	-0.001350	-0.000386
321	0.831501	0.000579	-0.002122
322	0.823688	-0.005305	-0.000627
323	0.826485	0.000579	-0.002459
324	0.825039	0.002508	-0.002749
325	0.824846	-0.003569	-0.006414
326	0.832079	-0.008391	-0.007234
327	0.841049	-0.003569	-0.007282
328	0.839120	0.003665	-0.008198
329	0.839603	-0.004823	-0.010127
330	0.842207	-0.010610	-0.007861
331	0.835648	-0.001061	-0.006559
332	0.837095	0.007523	-0.005739
333	0.835359	-0.002122	-0.005835
334	0.837770	-0.008295	-0.007186
335	0.836420	-0.007523	-0.006414
336	0.830633	-0.000579	-0.004919
337	0.827836	0.004823	-0.002797
338	0.828704	-0.005594	-0.007523
339	0.834973	-0.005305	-0.002025
340	0.834877	0.004147	-0.000386
341	0.838059	0.019001	0.002990
342	0.837770	-0.001447	0.003858
343	0.831790	-0.002894	0.006318
344	0.825714	-0.002990	0.005883
345	0.831790	0.000096	0.002894
346	0.828511	0.006559	0.007861
347	0.820988	-0.003279	0.004967
348	0.828318	-0.004147	0.007330
349	0.835359	-0.005401	0.006318
350	0.835648	-0.006173	0.009356
351	0.834491	-0.002894	0.005160
352	0.843171	-0.004340	0.004099
353	0.834491	-0.008005	0.004871
354	0.832465	0.005691	0.005980
355	0.837867	-0.004726	0.004244
356	0.837384	0.003183	0.007475
357	0.825617	-0.004340	0.010176
358	0.827160	-0.002025	0.006318
359	0.832272	-0.005691	0.005642
360	0.825521	-0.010127	0.005015
361	0.830922	-0.000965	0.009018
362	0.829379	-0.001736	0.005353
363	0.822338	0.013407	0.005064
364	0.824267	-0.008970	0.009066
365	0.822434	-0.008102	0.005449
366	0.828029	-0.004533	0.005449
367	0.825231	0.002411	0.007909
368	0.825521	0.009259	0.008439
369	0.832079	0.004244	0.005691
370	0.835262	-0.009259	0.004437
371	0.834105	-0.002411	0.005305
372	0.828318	-0.002025	0.003665
373	0.827932	-0.005498	0.000965
374	0.835069	0.001929	-0.001929
375	0.835648	0.000289	-0.006269
376	0.834491	-0.000289	-0.007378
377	0.832079	0.003376	-0.004678
378	0.835648	-0.008391	-0.008488
379	0.831115	0.002990	-0.010127
380	0.833526	-0.008970	-0.003376
381	0.830054	-0.005015	-0.004244
382	0.829861	-0.000386	-0.004581
383	0.823110	-0.001447	-0.005015
384	0.820891	-0.001543	-0.008198
385	0.820602	0.002411	-0.005739
386	0.824267	-0.000868	-0.005353
387	0.822724	-0.002122	-0.004533
388	0.814815	0.006848	-0.006318
389	0.823206	0.000096	-0.007813
390	0.822627	0.002797	-0.002218
391	0.824460	-0.003569	-0.004244
392	0.824460	0.003762	-0.002170
393	0.834201	-0.000096	-0.005353
394	0.832948	-0.004437	-0.003617
395	0.834491	0.005980	0.000096
396	0.827064	0.002411	-0.001399
397	0.823110	0.004533	0.002074
398	0.829282	0.005401	-0.001157
399	0.827546	0.000193	0.001736
400	0.828800	0.002604	0.002267
401	0.827643	0.004437	0.001881
402	0.829861	0.002218	0.002363
403	0.831887	0.002315	0.002074
404	0.829765	-0.006462	-0.007330
405	0.831211	0.007330	-0.000096
406	0.831115	0.005208	-0.000482
407	0.830826	-0.002411	-0.000193
408	0.831694	0.002025	0.000338
409	0.828125	-0.001833	0.001350
410	0.837963	-0.002990	0.003520
411	0.836806	-0.004533	0.003520
412	0.833719	-0.009934	-0.000482
413	0.828607	-0.005691	-0.001013
414	0.830054	-0.001254	0.002025
415	0.832079	-0.006366	0.001640
416	0.831019	0.001254	0.002508
417	0.825135	0.004726	-0.002411
418	0.831404	0.001447	-0.000579
419	0.835841	-0.004147	0.003954
420	0.827739	0.000965	0.005642
421	0.832562	-0.000289	0.005353
422	0.828704	-0.006462	0.001688
423	0.823785	0.007330	-0.003038
424	0.824749	0.000000	0.000096
425	0.824556	0.003279	-0.002701
426	0.826389	-0.010031	-0.003569
427	0.821952	-0.005691	-0.002218
428	0.830536	0.003665	-0.003231
429	0.828318	-0.002025	0.001302
430	0.828318	-0.006655	0.001784
431	0.823881	0.000965	-0.002508
432	0.831211	-0.000193	-0.001447
433	0.827643	0.001929	-0.000965
434	0.829186	-0.000289	0.002894
435	0.828511	-0.003086	0.006076
436	0.825810	-0.001447	0.006896
437	0.828221	0.005305	0.009597
438	0.828221	0.002894	0.006607
439	0.820602	0.002315	0.011285
440	0.826389	-0.003762	0.006462
441	0.826003	-0.005883	0.007186
442	0.833044	-0.003762	0.009452
443	0.832562	-0.000675	0.009356
444	0.840181	0.004919	0.008632
445	0.830922	0.008970	0.001736
446	0.831597	0.008777	0.000579
447	0.835262	-0.005787	0.000338
448	0.832948	-0.002122	-0.001157
449	0.833912	-0.000386	0.001013
450	0.834394	0.009259	-0.000289
451	0.830054	-0.007137	0.000627
452	0.831597	-0.003183	-0.000289
453	0.828511	-0.001157	-0.003472
454	0.824074	-0.009066	-0.001881
455	0.828993	-0.004147	-0.006125
456	0.827546	-0.005980	-0.004630
457	0.831983	0.000096	-0.004003
458	0.831983	-0.000096	-0.003762
459	0.831694	0.000386	-0.003617
460	0.827546	0.002604	-0.002218
461	0.824846	0.000000	0.000916
462	0.832755	0.013503	0.002411
463	0.831211	-0.003569	-0.000048
464	0.827836	-0.004244	-0.002170
465	0.828511	-0.001833	-0.001688
466	0.828704	-0.002894	-0.000627
467	0.825424	-0.001929	0.000048
468	0.836998	-0.001447	0.001736
469	0.833719	0.002122	-0.000579
470	0.833526	-0.001447	-0.000434
471	0.836227	0.004437	-0.001302
472	0.837095	-0.002218	-0.004726
473	0.836902	0.000386	-0.004533
474	0.838831	-0.000193	-0.004774
475	0.837191	-0.002508	-0.005883
476	0.833912	0.005980	-0.002942
477	0.836516	-0.002025	-0.000965
478	0.837095	0.007427	-0.003858
479	0.835552	0.002508	-0.000530
480	0.838638	-0.001640	-0.003520
481	0.832176	0.000289	-0.001061
482	0.830247	-0.001833	-0.001302
483	0.828414	0.000772	-0.004340
484	0.825328	-0.005883	-0.005594
485	0.825907	0.004147	-0.000482
486	0.829090	0.003279	-0.006703
487	0.829379	0.001543	-0.005015
488	0.828318	0.001736	-0.007089
489	0.827450	-0.002218	-0.005015
490	0.824942	0.005305	-0.007330
491	0.831597	0.002315	-0.003810
492	0.834394	0.001254	-0.001640
493	0.834684	0.005401	-0.004919
494	0.836516	0.001157	-0.008343
495	0.827353	-0.005691	-0.009307
496	0.827064	-0.002797	-0.009018
497	0.822627	-0.004244	-0.004774
498	0.823785	0.006269	-0.004340
499	0.828125	-0.001350	-0.006318
500	0.832369	0.002990	-0.006655
501	0.829090	-0.003376	-0.006366
502	0.828607	0.005112	-0.005498
503	0.833526	-0.004533	0.002074
504	0.831887	0.000289	-0.000338
505	0.829668	0.001640	-0.001302
506	0.832658	0.011381	0.002411
507	0.829861	-0.006655	0.000868
508	0.831404	-0.003472	0.005932
509	0.832658	-0.000965	0.002797
510	0.826968	-0.001447	0.002604
511	0.826871	0.003376	0.003472
512	0.828029	-0.010610	0.004871
513	0.818962	-0.007137	0.009645
514	0.823978	0.000096	0.009018
515	0.824846	0.004147	0.006703
516	0.831694	-0.001447	0.008632
517	0.828704	0.000579	0.007282
518	0.827064	0.009163	0.003231
519	0.832176	0.007620	0.004147
520	0.835841	0.008873	0.002122
521	0.835359	-0.001929	-0.001591
522	0.838349	-0.005112	0.000820
523	0.830440	0.008005	0.001736
524	0.828414	0.002894	0.005883
525	0.822338	0.011863	0.007813
526	0.820698	0.004726	0.005208
527	0.817130	-0.001736	0.006944
528	0.817515	0.006944	0.003279
529	0.816358	0.002894	0.005642
530	0.819734	-0.008488	0.003810
531	0.820313	-0.001736	0.006800
532	0.820023	-0.003376	0.007234
533	0.816551	0.003569	0.004196
534	0.815297	0.003183	0.001350
535	0.818287	-0.001447	0.002363
536	0.815201	-0.002411	0.002025
537	0.819444	0.001061	-0.002459
538	0.825617	0.005594	-0.002701
539	0.825810	0.002411	-0.003713
540	0.826100	-0.012828	-0.004292
541	0.826003	0.008102	-0.001736
542	0.822338	0.003858	0.000434
543	0.821856	-0.006076	-0.001495
544	0.825810	-0.004147	0.000772
545	0.828318	0.006269	0.002411
546	0.826003	-0.000965	0.004871
547	0.827064	-0.003858	0.003810
548	0.828607	0.003569	0.001013
549	0.828414	-0.002025	-0.000048
550	0.827064	0.004533	-0.006559
551	0.824460	0.001543	-0.000627
552	0.820505	-0.005594	-0.001206
553	0.825231	-0.005498	-0.006125
554	0.824363	0.006076	-0.001640
555	0.827064	-0.000965	-0.001206
556	0.822917	0.003762	-0.001977
557	0.820988	-0.007330	-0.004871
558	0.824363	0.000579	-0.005449
559	0.831404	0.000579	0.000675
560	0.826968	0.003665	-0.000338
561	0.827739	-0.001929	-0.001784
562	0.831308	0.001833	-0.002025
563	0.827450	-0.007813	-0.006462
564	0.816262	-0.001350	-0.004967
565	0.813657	-0.003858	-0.001302
566	0.813272	-0.000289	-0.000482
567	0.819348	0.005498	-0.002749
568	0.821277	0.001640	0.001543
569	0.820891	0.006848	0.002074
570	0.821373	0.002122	0.001350
571	0.824749	-0.003279	0.000000
572	0.829861	-0.000965	-0.002797
573	0.824363	-0.006269	-0.005546
574	0.825907	0.004919	-0.004774
575	0.816647	-0.001350	-0.007234
576	0.821373	-0.011671	-0.006125
577	0.818094	-0.006462	-0.003086
578	0.825328	0.000868	-0.002894
